Continent,Country,Capital,Information
Africa,Comoros ,Moroni ,x
Africa,Congo ,Brazzaville ,x
Africa,Democratic Republic of Congo ,Kinshasa ,x
Africa,Djibouti ,Djibouti,x
Africa,Egypt ,Cairo ,x
Africa,Equatorial Guinea ,Malabo ,x
Africa,Eritrea ,Asmara ,x
Africa,Ethiopia ,Addis Ababa ,x
Africa,Gabon ,Libreville ,x
Africa,Gambia ,Banjul ,x
Africa,Ghana ,Accra ,x
Africa,Guinea ,Conakry ,x
Africa,Guinea-Bissau ,Bissau ,x
Africa,Ivory Coast ,Yamoussoukro,x
Africa,Kenya ,Nairobi ,x
Africa,Lesotho ,Maseru ,x
Africa,Liberia ,Monrovia ,x
Africa,Libya ,Tripoli ,x
Africa,Madagascar ,Antananarivo ,x
Africa,Malawi ,Lilongwe ,x
Africa,Mali ,Bamako ,x
Africa,Mauritania ,Nouakchott ,x
Africa,Mauritius ,Port Louis ,x
Africa,Morocco ,Rabat ,x
Africa,Mozambique ,Maputo ,x
Africa,Namibia ,Windhoek ,x
Africa,Niger ,Niamey ,x
Africa,Nigeria ,Abuja ,x
Africa,Qatar ,Doha ,x
Africa,Rwanda ,Kigali ,x
Africa,São Tomé and Príncipe ,Sao Tome,x
Africa,Senegal ,Dakar ,x
Africa,Seychelles ,Victoria ,x
Africa,Sierra Leone ,Freetown ,x
Africa,Somalia ,Mogadishu ,x
Africa,South Africa ,Cape Town,x
Africa,South Sudan ,Juba ,x
Africa,Sudan ,Khartoum ,x
Africa,Swaziland ,Mata-utu ,x
Africa,Tanzania ,Dodoma,x
Africa,Togo ,Lomé ,x
Africa,Tunisia ,Tunis ,x
Africa,Uganda ,Kampala ,"The flag of Uganda was adopted on 9 October 1962, the date that Uganda became independent from the United Kingdom. It consists of six equal horizontal bands of black (top), yellow, red, black, yellow, and red (bottom); a white disc is superimposed at the centre and depicts the national symbol, a grey crowned crane, facing the hoist side. The three colours are representative of African peoples (black), Africa's sunshine (yellow), and African brotherhood (red being the colour of blood, through which all Africans are connected).<br><br> The grey crowned crane is fabled for its gentle nature and was also the military badge of Ugandan soldiers during British rule. The raised leg of the crane symbolizes the forward movement of the country. During the colonial rule the Britishers selected the flag of Buganda for using on British Blue ensign. The crane was added in the center to avoid the flag's association with a particular geographic region."
Africa,Western Sahara,El Aaiun,x
Africa,Zambia ,Lusaka ,x
Africa,Zimbabwe ,Harare ,x
Asia,Afghanistan ,Kabul ,x
Asia,Bahrain ,Manama ,x
Asia,Bangladesh ,Dhaka ,x
Asia,Bhutan ,Thimphu ,x
Asia,Brunei ,Bandar Seri Begawan ,x
Asia,Cambodia ,Phnom Penh ,x
Asia,China,Beijing ,x
Asia,East Timor,Dili ,x
Asia,India ,New Delhi ,x
Asia,Indonesia ,Jakarta ,x
Asia,Iran ,Tehran ,x
Asia,Iraq ,Baghdad ,x
Asia,Israel ,Jerusalem,x
Asia,Japan ,Tokyo ,x
Asia,Jordan ,Amman ,x
Asia,Kazakhstan ,Astana ,x
Asia,Kuwait ,Kuwait City ,x
Asia,Kyrgyzstan ,Bishkek ,x
Asia,Laos ,Vientiane ,x
Asia,Lebanon ,Beirut ,x
Asia,Malaysia,Kuala Lumpur ,x
Asia,Maldives ,Malé ,x
Asia,Mongolia ,Ulan Bator ,x
Asia,Myanmar ,Naypyidaw ,x
Asia,Nepal ,Kathmandu ,x
Asia,North Korea ,Pyongyang ,x
Asia,Oman ,Muscat ,x
Asia,Pakistan ,Islamabad ,x
Asia,Palestine ,Ramallah and Gaza,x
Asia,Philippines ,Manila ,x
Asia,Russia ,Moscow ,x
Asia,Saudi Arabia ,Riyadh ,x
Asia,Singapore ,Singapore ,x
Asia,South Korea ,Seoul ,x
Asia,Sri Lanka ,Sri Jayawardenapura-kotte,x
Asia,Syria ,Damascus ,x
Asia,Taiwan ,Taipei ,x
Asia,Tajikistan ,Dushanbe ,x
Asia,Thailand ,Bangkok ,x
Asia,Turkmenistan ,Ashgabat ,x
Asia,United Arab Emirates ,Abu Dhabi ,x
Asia,Uzbekistan ,Tashkent ,x
Asia,Vietnam ,Hanoi ,x
Asia,Yemen ,Sana'a ,x
Europe,Albania ,Tirana ,x
Europe,Andorra ,Andorra La Vella ,x
Europe,Armenia ,Yerevan ,x
Europe,Austria ,Vienna ,x
Europe,Azerbaijan ,Baku ,x
Europe,Belarus ,Minsk ,x
Europe,Belgium ,Brussels ,x
Europe,Bosnia and Herzegovina ,Sarajevo ,x
Europe,Bulgaria ,Sofia ,x
Europe,Croatia ,Zagreb ,x
Europe,Cyprus ,Nicosia ,x
Europe,Czech Republic ,Prague ,x
Europe,Denmark ,Copenhagen ,x
Europe,Estonia ,Tallinn ,x
Europe,Finland ,Helsinki ,x
Europe,France ,Paris ,x
Europe,Georgia ,Tbilisi ,x
Europe,Germany ,Berlin ,x
Europe,Greece ,Athens ,x
Europe,Hungary ,Budapest ,x
Europe,Iceland ,Reykjavík ,x
Europe,Ireland ,Dublin ,x
Europe,Italy ,Rome ,x
Europe,Kosovo,Pristina ,x
Europe,Latvia ,Riga ,x
Europe,Liechtenstein ,Vaduz ,x
Europe,Lithuania ,Vilnius ,x
Europe,Luxembourg ,Luxembourg ,x
Europe,Macedonia ,Skopje ,x
Europe,Malta ,Valletta ,x
Europe,Moldova ,Chisinau ,x
Europe,Monaco ,Monaco ,x
Europe,Montenegro ,Podgorica ,x
Europe,Netherlands ,Amsterdam ,x
Europe,Norway ,Oslo ,x
Europe,Poland ,Warsaw ,x
Europe,Portugal ,Lisbon ,x
Europe,Romania ,Bucharest ,x
Europe,San Marino ,San Marino ,x
Europe,Serbia ,Belgrade ,x
Europe,Slovakia ,Bratislava ,x
Europe,Slovenia ,Ljubljana ,x
Europe,Spain,Madrid ,x
Europe,Sweden ,Stockholm ,x
Europe,Switzerland ,Bern ,x
Europe,Turkey ,Ankara ,x
Europe,Ukraine ,Kiev ,x
Europe,United Kingdom ,London ,x
Europe,Vatican City ,Vatican City ,x
North America,Antigua and Barbuda ,Saint Johns,x
North America,Bahamas ,Nassau ,x
North America,Barbados ,Bridgetown ,x
North America,Belize ,Belmopan ,x
North America,Canada ,Ottawa ,x
North America,Costa Rica ,San José ,x
North America,Cuba ,Havana ,x
North America,Dominica ,Roseau ,x
North America,Dominican Republic ,Santo Domingo ,x
North America,El Salvador ,San Salvador ,x
North America,Grenada ,St. George's ,x
North America,Guatemala ,Guatemala City,x
North America,Haiti ,Port-au-prince ,x
North America,Honduras ,Tegucigalpa ,x
North America,Jamaica ,Kingston ,x
North America,Mexico ,Mexico City ,x
North America,Nicaragua ,Managua ,x
North America,Panama ,Panama City ,x
North America,Saint Kitts and Nevis ,Basseterre ,x
North America,Saint Lucia ,Castries ,x
North America,Saint Vincent and the Grenadines ,Kingstown ,x
North America,Trinidad and Tobago ,Port Of Spain ,x
North America,United States ,Washington D.C. ,x
Oceania,Australia ,Canberra ,x
Oceania,Fiji ,Suva ,x
Oceania,Kiribati ,Tarawa ,x
Oceania,Marshall Islands ,Majuro ,x
Oceania,Micronesia ,Palikir ,x
Oceania,Nauru ,Yaren,x
Oceania,New Zealand ,Wellington ,x
Oceania,Palau ,Ngerulmud ,x
Oceania,Papua New Guinea ,Port Moresby ,x
Oceania,Samoa ,Apia ,x
Oceania,Solomon Islands ,Honiara ,x
Oceania,Tonga ,Nuku_alofa ,x
Oceania,Tuvalu ,Funafuti ,x
Oceania,Vanuatu ,Port Vila ,x
South America,Argentina ,Buenos Aires ,x
South America,Bolivia ,Sucre,x
South America,Brazil ,Brasília ,x
South America,Chile ,Santiago ,x
South America,Colombia ,Bogotá ,x
South America,Ecuador ,Quito ,x
South America,Guyana ,Georgetown ,x
South America,Paraguay ,Asunción ,x
South America,Peru ,Lima ,x
South America,Suriname ,Paramaribo ,x
South America,Uruguay ,Montevideo ,x
South America,Venezuela ,Caracas ,x
